,Team 1,University
0,Watermelon Waddlers,Staffordshire University
1,Portsmouth Paladins,University of Portsmouth
2,Oxford Omnics,Oxford University
3,Team 7,
4,Sheffield Dragons,University of Sheffield
5,Durham Defenders,Durham University
6,Lancaster Bombers,Lancaster University
7,UoL Arctic Foxes,University of Liverpool
8,Gaming,University of Southampton
9,MMU Minotaurs OW,Manchester Metropolitan University
10,Hull Hornets,University of Hull
11,Warwick Angels,University of Warwick
12,Essex Blades OW,University of Essex
13,Warwick Angles 2022,University of Warwick
14,LEEM_OW v2,University of Abertay Dundee
15,Royal Glizzlies,"Royal Holloway, University of London"
16,Plymouth...,University of Plymouth
17,404v2,University of York
18,Leeds Gryphons,University of Leeds
19,UWE Sea Stags,University of the West of England
20,Team 41,
21,meow owoverwatch,King's College London
22,UoB Apollo,University of Birmingham
23,DoughNotts 2,University of Nottingham
24,Beckett Bears,Leeds Beckett University
25,Trent Thunder_Pink,Nottingham Trent University
26,Swansea Storm Black,Swansea University
27,UEA Bluejays,University of East Anglia
28,Cardiff Crusaders,Cardiff University
29,Caledonian...,Glasgow Caledonian University
30,Kentsune,University of Kent
31,Bristol Hashtag...,University of Bristol
32,Keele Krakens,Keele University
33,Bath Bombers,University of Bath
34,St AndrewsSss,University of St Andrews
35,Last Night in Soho,Newcastle University
36,The Warwick...,University of Warwick
37,Genghis Swan,University of Lincoln
38,Hopium,Queen Mary University of London
39,Teesside based bois,Teesside University
40,Sussex Sharks,University of Sussex
41,Chi_Noble,University of Chichester
42,Microwave,University of Liverpool
43,ManOW2T1,University of Manchester
44,Edinburgh Eclipse,University of Edinburgh
45,Exepired,University of Exeter
46,CamDu Punters,University of Cambridge
47,Bristol Hashtag...,University of Bristol
48,UWE Sea Stags Black,University of the West of England
49,Strathers,University of Strathclyde
50,Yoshi Appreciators,University of Leeds
51,Lincoln sIMPs,University of Lincoln
52,BU Red Barracudas,Bournemouth University
53,BU Blue Barracudas,Bournemouth University
54,Team Dynasty,Roehampton University
55,UEA Kingfishers,University of East Anglia
56,Edgy Sharks,University of Sussex
57,Team 115,
58,Oxford,Oxford University
59,Brunel Basilisks,Brunel University
60,Risky Biscuits,Bath Spa University
61,Nanoboost,Swansea University
62,Heavens Rejects,University of Warwick
63,OW SHU T1,Sheffield Hallam University
64,Warwick Pro Tractors,University of Warwick
65,Watt Wyverns 2022,Heriot-Watt University
66,Falmouth Phoenix...,FXU (Falmouth &amp; Exeter Student's Union)
67,UoL Leicester...,University of Leicester
68,Plymouth...,University of Plymouth
69,Glasgow Winstons fr,University of Glasgow
70,BCUseless,Birmingham City University
71,Only Bronzes,Manchester Metropolitan University
72,Dundee Vanguard,University of Dundee
73,ttvseanadofps,Imperial College London
74,Trent Thunder_Purple,Nottingham Trent University
75,drywalldrinkers,Staffordshire University
76,DurhamDoge,Durham University
77,Exe on the Beach,University of Exeter
78,Bath Bubbles,University of Bath
79,Aber Ult Spammers,Aberystwyth University
80,Derby Raptors Uni...,University of Derby
81,Brighton T2O,University of Brighton
82,Salford Lions OW,University of Salford
83,Dundee Rearguard,University of Dundee
84,DMU Team 1,De Montfort University
85,Bangor Team 1,Bangor University
86,Exestential Crisis,University of Exeter
87,Beds Bandits,University of Bedfordshire
88,Staggered,University of Southampton
89,QUB Team 1,Queen's University Belfast
90,Northumbria Vikings,Northumbria University
91,MMU Team 3,Manchester Metropolitan University
92,York Bastions,University of York
93,Team Valkyrie,University of Abertay Dundee
94,Budget Crusaders,Cardiff University
95,Monkey Mondays V3,University of Northampton
96,Glasgow Team Name...,University of Glasgow
97,Banned Bnet Bozos,University of York
98,Ls2,University of Southampton
99,Durham Disasters,Durham University
100,pompey bababo0ey,University of Portsmouth
101,Tyneside Pog Frogs,Newcastle University
102,Succumb to Brum,University of Birmingham
103,BCUrMum,Birmingham City University
104,Sheffield Wyverns,University of Sheffield
105,Team 211,
106,Teesside Smoggies,Teesside University
107,Clueless Crusaders,Cardiff University
108,Surrey Stags,University of Surrey
109,UWL West London...,University of West London
110,BLANK,University of Bristol
111,Glasgow Pride,University of Glasgow
112,Leeds...,Leeds Conservatoire
113,Trent Thunder_Blue,Nottingham Trent University
114,UALSMOSHFANS2002,University of the Arts London
115,Glasgow Switches,University of Glasgow
116,Euston Outlaws,University College London
117,The Westminster...,University of Westminster
118,Eboracum Warriors,York St John University
119,Kent Believe It,University of Kent
120,Staffs Shadows,Staffordshire University
121,Only Ls JMU,Liverpool John Moores University
122,Quayside KekWs,Newcastle University
123,Portsmouth Edge...,University of Portsmouth
124,London Legion...,College of Esports
125,Solent Spartans,Southampton Solent University
126,Portsmouth Pengiuns,University of Portsmouth
127,Huddersfield...,University of Huddersfield
128,Huddersfield...,University of Huddersfield
129,monke madness,University of Northampton
130,Teesside CLRJ,Teesside University
131,Warwick Devils,University of Warwick
132,Eboracum Raiders,York St John University
133,Hull Uni Team 2,University of Hull
134,Jerrys,Loughborough University
135,CES Hydras,"City, University of London"
136,Falmouth Phoenix...,FXU (Falmouth &amp; Exeter Student's Union)
137,Bath Tubs,Bath Spa University
138,Sheffield Hydras,University of Sheffield
139,UWE Sea Stags Red,University of the West of England
140,Kenthardt,University of Kent
141,Casual Crusaders,Cardiff University
142,Eboracum Guards,York St John University
143,Staffs LONDON,Staffordshire University
144,Totally Quacked,University of Lincoln
145,ManOW2T2,University of Manchester
146,Jokers Wild,Manchester Metropolitan University
147,Team 295,
148,Baby Sharks,University of Sussex
149,CovPhoenix,Coventry University
150,Falmouth Phoenix...,FXU (Falmouth &amp; Exeter Student's Union)
