,Points
University of Warwick,386.0
University College London,226.0
King's College London,210.0
Lancaster University,160.0
Durham University,160.0
Swansea University,152.0
Imperial College London,152.0
Loughborough University,150.0
Newcastle University,150.0
University of Southampton,150.0
University of Nottingham,140.0
University of Exeter,130.0
University of Surrey,130.0
podbotsasdas,120.0
Glasgow Caledonian University,120.0
Queen's University Belfast,120.0
University of Bristol,120.0
University of Sussex,116.0
University of Leeds,116.0
University of East Anglia,106.0
Cardiff University,106.0
FXU (Falmouth &amp; Exeter Student's Union),106.0
University of Bath,106.0
Keele University,106.0
University of York,96.0
University of the West of England,96.0
University of Plymouth,86.0
University of Strathclyde,86.0
Heriot-Watt University,76.0
University of South Wales,76.0
University of Cambridge,76.0
Nottingham Trent University,76.0
"City, University of London",76.0
Ulster University,76.0
University of Hertfordshire,76.0
Queen Mary University of London,76.0
University of Manchester,60.0
University of Portsmouth,60.0
University of Kent,50.0
University of Birmingham,40.0
Brunel University,40.0
Bournemouth University,30.0
London School of Economics,30.0
Northumbria University,30.0
University of Chichester,30.0
University of Edinburgh,30.0
University of Lincoln,30.0
Birmingham City University,30.0
Bangor University,30.0
Aston University,30.0
University of Sheffield,30.0
University of Aberdeen,10.0
University of Liverpool,10.0
Coventry University,10.0
University of Gloucestershire,10.0
Sheffield Hallam University,10.0
"Royal Holloway, University of London",10.0
University of Salford,10.0
