University,Points
University of Warwick,2143.0
University of Southampton,1270.0
Lancaster University,1176.0
University of Exeter,1114.0
Cardiff University,1060.0
University of Birmingham,1023.0
Durham University,1007.0
Swansea University,950.0
Imperial College London,946.0
Staffordshire University,911.0
University of Kent,897.0
Loughborough University,882.0
University of Bath,865.0
University College London,852.0
University of Manchester,804.0
King's College London,792.0
University of the West of England,788.0
Keele University,759.0
Nottingham Trent University,757.0
University of Bristol,745.0
University of Leeds,737.0
University of Portsmouth,712.0
University of Nottingham,705.0
University of Sussex,704.0
University of York,700.0
University of Lincoln,664.0
University of East Anglia,639.0
Newcastle University,584.0
Roehampton University,537.0
"City, University of London",536.0
Bournemouth University,534.0
University of Liverpool,527.0
University of Plymouth,527.0
Queen's University Belfast,525.0
Heriot-Watt University,498.0
University of Surrey,494.0
De Montfort University,486.0
Aston University,452.0
University of Glasgow,450.0
University of Leicester,415.0
University of Sheffield,393.0
University of Edinburgh,379.0
Queen Mary University of London,368.0
Brunel University,360.0
University of Reading,356.0
University of Hertfordshire,351.0
University of Strathclyde,340.0
Sheffield Hallam University,336.0
Oxford University,314.0
University of Salford,309.0
FXU (Falmouth &amp; Exeter Student's Union),307.0
"Royal Holloway, University of London",306.0
Liverpool John Moores University,299.0
University of St Andrews,282.0
Birmingham City University,256.0
University of Chichester,239.0
University of Abertay Dundee,236.0
Northumbria University,234.0
Coventry University,222.0
University of Cambridge,220.0
Manchester Metropolitan University,216.0
University of Hull,213.0
Glasgow Caledonian University,195.0
Teesside University,180.0
Leeds Beckett University,172.0
University of the Arts London,172.0
University of Westminster,169.0
University of Derby,168.0
University of Essex,163.0
University of Huddersfield,158.0
London School of Economics,156.0
Bath Spa University,141.0
University of Northampton,131.0
University of West London,127.0
podbotsasdas,120.0
University of Stirling,116.0
University of South Wales,104.0
Aberystwyth University,101.0
Bangor University,89.0
University of Dundee,86.0
Anglia Ruskin University,81.0
"Goldsmiths, University of London",81.0
Ulster University,76.0
Southampton Solent University,65.0
University of Gloucestershire,64.0
Reading,60.0
Sheffield Hallam,59.0
College of Esports,46.0
University of Winchester,39.0
Manchester Met,37.0
Warwick,30.0
Staffordshire,29.0
Swansea,28.0
University of Brighton,27.0
Cardiff Metropolitan University,26.0
London South Bank University,26.0
UWE,26.0
"University for the Creative Arts, Surrey",26.0
University of Sunderland,26.0
De Montfort,26.0
Kingston University,26.0
London Metropolitan University,26.0
Birmingham,25.0
University of Bedfordshire,24.0
Leeds Conservatoire,24.0
Loughborough,24.0
Brunel,23.0
York St John University,21.0
Falmouth,21.0
Edge Hill University,19.0
Nottingham,19.0
Tesside,15.0
Oxford Brookes University,14.0
Royal Holloway,14.0
Durham,12.0
Derby,11.0
University of Aberdeen,10.0
Anglia Ruskin,9.0
Birmingham City,8.0
School of Oriental and African Studies,7.0
Buckinghamshire New University,7.0
Oxford,7.0
Sussex,6.0
Teesside,6.0
Imperial,6.0
Westminster,5.0
Abertay Dundee,3.0
Portsmouth,1.0
Bath Spa,1.0
Keele,1.0
